Municipality or First Nation,Store Name,Address,Store Application Status
PETERBOROUGH,SPARQ RETAIL,809 CHEMONG RD UNIT 24,Authorized to Open
PETERBOROUGH,The Peace Pipe,408 GEORGE ST N,Authorized to Open
PETERBOROUGH,Tweed,950 LANSDOWNE ST W UNIT A-07,Public Notice Period: Ended 2021/12/22
PETERSBURG,VIP Cannabis Company,"1656 SNYDERS RD E, UNIT B",Authorized to Open
PETROLIA,Rose Gold Cannabis,4247 OIL HERITAGE RD UNIT 4,Authorized to Open
PICKERING,BUDSSMOKE,940 BROCK RD UNIT 3,Authorized to Open
PICKERING,BUZZED BUDS,1278 KINGSTON RD UNIT B 1-2,Authorized to Open
PICKERING,CANNABIS XPRESS,1692 CENTRAL ST UNIT 1,Authorized to Open
PICKERING,HOLLAND DAZE,981 BROCK RD UNIT 2,Authorized to Open
PICKERING,LOLLY,715 KROSNO BLVD,Authorized to Open
PICKERING,Montrose,1755 PICKERING PKY UNIT A-021B,Authorized to Open
PICKERING,OFFSIDE CANNABIS,776 LIVERPOOL RD UNIT 4,Authorized to Open
PICKERING,One Plant Pickering,705 KINGSTON RD SUITE 1,Authorized to Open
PICKERING,Pop's Cannabis Co.,1900 DIXIE RD UNIT 10,Authorized to Open
PICKERING,Pop's Cannabis Co. Pickering,1822 WHITES RD UNIT 13,Authorized to Open
PICKERING,Spiritleaf Cannabis,1792 LIVERPOOL RD UNIT 107,Authorized to Open
PICKERING,Tokyo Smoke Pickering Town Centre,1355 KINGSTON RD SUITE 71,Public Notice Period: Ended 2023/09/13
PICKERING,Tough Bud Cannabis,1235 BAYLY ST UNIT 14,Authorized to Open
PICKERING,Value Buds,1450 KINGSTON RD UNIT 14,Authorized to Open
PICKERING,YOUR KUSH HOUSE,1134 BALTIC LANE,Authorized to Open
PICKERING,Zen Cannabis,2250 HIGHWAY 7,Public Notice Period: Ended 2021/06/17
PICKERING ,The Hunny Pot Cannabis Co,1899 BROCK RD UNIT H3,Authorized to Open
PICTON,ERBN GREEN,126 PICTON MAIN ST,Authorized to Open
PICTON,FRIDAYS CANNABIS,190 PICTON MAIN ST,Authorized to Open
PICTON ,Cannaverse,23 GEORGE WRIGHT BLVD UNIT C-1 RR1,Authorized to Open
PLANTAGENET,Cannabis Connect,5787 COUNTY RD 17,Public Notice Period: Ended 2021/06/15
PLANTAGENET,Highties Cannabis Store,5787 COUNTY RD 17,Authorized to Open
PORT COLBORNE,Green King Cannabis ,111 CLARENCE ST UNIT A1,Authorized to Open
PORT COLBORNE,PARADISE CANNABIS,230 MAIN ST W UNIT C,Authorized to Open
PORT COLBORNE,SESSIONS CANNABIS PORT COLBORNE,287 WEST SIDE RD UNIT 105,Authorized to Open
PORT COLBORNE,True North Cannabis Company,349 KING ST,Authorized to Open
PORT DOVER,THE HAZE CO.,7 MAIN ST,Authorized to Open
PORT DOVER,VILLAGE CANNABIS CO.,237 MAIN ST,Authorized to Open
PORT ELGIN,Bitz n Budz,554 GODERICH ST,Public Notice Period: Ended 2020/08/04
PORT ELGIN,Budzz Pot Shoppe,5026 HWY 21 RR1,Authorized to Open
PORT ELGIN,Moonfire Cannabis,1110 GODERICH ST UNIT C2,Public Notice Period: Ended 2023/11/16
PORT ELGIN,Tokyo Smoke - Port Elgin,216 GODERICH ST UNIT 3,Authorized to Open
PORT HOPE,Best Cannabis,68 WELLINGTON ST UNIT 3,Authorized to Open
PORT HOPE,CANNABIS XPRESS,5 QUINLAN DR UNIT B,Authorized to Open
PORT HOPE,Grasshopper Cannabis,52 WALTON ST,Authorized to Open
PORT HOPE,High River Cannabis,24 JOHN ST,Authorized to Open
PORT HOPE,Kryptonite Cannabis,107 PETER ST UNIT F,Authorized to Open
PORT HOPE,Stash & Co.,141 TORONTO RD SUITE 121,Authorized to Open
PORT HOPE,To Be Determined,20 JOCELYN ST,In Progress
PORT PERRY,Cannaverse,14500 SIMCOE STREET UNITS 6 & 7,Authorized to Open
PORT PERRY,Offside Cannabis,693 QUEEN ST,Authorized to Open
PORT PERRY,Sessions Cannabis Port Perry,261 QUEEN ST,Authorized to Open
PORT PERRY,The Cannabis Connoisseur,1874 SCUGOG ST UNIT 2,Authorized to Open
PORT SYDNEY,The Green Bouquet Cannabis,15 SOUTH MARY LAKE RD UNIT 2,Authorized to Open
PRESCOTT,DREAM CANNABIS,290 KING ST W UNIT A,Public Notice: Ends on 2023/12/01
PRESCOTT,SHINYBUD CANNABIS CO. 305 KING ST.,305 KING ST WEST,Authorized to Open
RAMA,Rama Cannabis,5988 RAMA RD,Authorized to Open
RAMARA,Longbottom Leaf,2267 HIGHWAY 12,Authorized to Open
RAMARA,SUPREME LEAF CANNABIS COMPANY,"5236 HIGHWAY 12 SOUTH, UNIT B",Public Notice Period: Ended 2020/10/16
RED LAKE,West End Cannabis Co.,260 HOWEY STREET,Authorized to Open
RENFREW,Cannabis 228,28 RAGLAN ST N SUITE 228,Authorized to Open
RENFREW,T CANNABIS - Renfrew,164 RAGLAN ST S,Authorized to Open
RENFREW ,A High Class Joint,910 O'BRIEN RD UNIT 1004,Authorized to Open
RICHMOND,Gather and Grow Recreational Cannabis,6179 PERTH ST UNIT 220,Authorized to Open
RICHMOND,Shinybud Cannabis Co. Richmond,5921 PERTH ST UNIT 300,Public Notice Period: Ended 2022/12/01
RIDGETOWN,CANNABIS XPRESS,39 MAIN ST E,Authorized to Open
ROCKLAND,Big River Cannabis - Laurier,2613 LAURIER ST,Authorized to Open
ROCKLAND,ONE PLANT,3000 RICHELIEU ST UNIT 3,Authorized to Open
ROCKLAND,Stash & Co.,2756 CHAMBERLAND ST N UNIT 4,Authorized to Open
ROCKLAND,T CANNABIS ,2865 CHAMBERLAND ST SUITE 1,Authorized to Open
ROCKWOOD,GreenSpace Co ,126 MAIN ST S,Authorized to Open
ROCKWOOD,Taste Buds Cannabis,"155 MAIN ST S  UNIT ""A"" ",Authorized to Open
RUSSELL,MARY J'S CANNABIS RUSSEL,191 CASTOR ST UNIT 1,Authorized to Open
RUTHERGLEN,BUDSSMOKE,1442 HWY 17 E RR 1 UNIT D&E,Authorized to Open
SARNIA,Bogarts Cannabis Shop,1362 LAMBTON MALL RD UNIT 20,Authorized to Open
SARNIA,Bogarts Cannabis Shop,1202 LAKESHORE RD UNIT A,Authorized to Open
SARNIA,Gold Coast Cannabis,680 CATHCART BLVD UNIT 3A,Public Notice Period: Ended 2021/03/27
SARNIA,HIGHLIFE BLUEWATER,940 MURPHY RD UNIT 1,Authorized to Open
SARNIA,SESSIONS CANNABIS SARNIA,600 MURPHY RD SUITE 105A,Authorized to Open
SARNIA,The Hunny Pot Cannabis Co,1440 QUINN DR,Authorized to Open
SARNIA,The We Store,889 EXMOUTH ST UNIT 11,Authorized to Open
SARNIA,The We Store,450 TRUDEAU DR UNIT 7/8,Authorized to Open
SARNIA,Tokyo Smoke Lambton Mall,1380 LONDON RD UNIT 141,Authorized to Open
SARNIA,True North Cannabis Company,129 MITTON ST S,Authorized to Open
SARNIA,Yield Cannabis Co.,1000 FINCH DR UNIT 9,Authorized to Open
SARNIA,YOUR HIGHNESS CANNABIS,415 EXMOUTH ST UNIT 104,Authorized to Open
SAUBLE BEACH,Moonfire Cannabis,329 MAIN ST UNIT 3,Authorized to Open
SAULT STE MARIE ,Matchbox Cannabis,275 SECOND LINE WEST UNIT 120A ,Authorized to Open
SAULT STE. MARIE,Cannabis Jack's,518 GREAT NORTHERN RD UNIT 1,Authorized to Open
SAULT STE. MARIE,Cannabis Jacks,149 TRUNK RD,Authorized to Open
SAULT STE. MARIE,Cannaverse,44 GREAT NORTHERN RD SUITE 13,Authorized to Open
SAULT STE. MARIE,Due North Cannabis,150 CHURCHILL BLVD UNIT C001,Authorized to Open
SAULT STE. MARIE,Due North Cannabis Co.,710 SECOND LINE E UNIT 5,Authorized to Open
SAULT STE. MARIE,Due North Cannabis Co.,695 PINE ST UNIT T6,Authorized to Open
SAULT STE. MARIE,HIGHLIFE SSM,625 TRUNK RD UNIT 9,Authorized to Open
SAULT STE. MARIE,Matchbox Cannabis,146 QUEEN ST E,Authorized to Open
SAULT STE. MARIE,Sessions Cannabis - Sault Ste Marie,216 SECOND LINE W,Authorized to Open
SAULT STE. MARIE,SOO CANNABIS SSM,317 NORTHERN AVE E,Authorized to Open
SAULT STE. MARIE,True North Cannabis Co. ,898 QUEEN ST E UNIT 2,Authorized to Open
SCARBOROUGH,7th Heaven Cannabis ,114 MARKHAM RD,Authorized to Open
SCARBOROUGH,ARCADE CANNABIS,6758 KINGSTON RD UNIT 1B,Authorized to Open
SCARBOROUGH,Breaking Bud Cannabis,2683 EGLINTON AVE E,Authorized to Open
SCARBOROUGH,BREAKING BUD CANNABIS,685W MARKHAM RD,Authorized to Open
SCARBOROUGH,CANNA CABANA,"85 ELLESMERE RD, UNIT A01003B",Authorized to Open
SCARBOROUGH,Cannabis Hut Ltd,1715 VICTORIA PARK AVE,Authorized to Open
SCARBOROUGH,Cannabis Hut Ltd,2436 KINGSTON RD,Authorized to Open
SCARBOROUGH,Cannabis Hut Ltd.,2254 BIRCHMOUNT RD,Authorized to Open
SCARBOROUGH,CANNABIS XPRESS,5005 STEELES AVE E UNIT 106,Authorized to Open
SCARBOROUGH,Cannabuds,2776 KENNEDY RD,Authorized to Open
SCARBOROUGH,CANNAVERSE,2555 EGLINTON AVE E UNIT 8,Authorized to Open
SCARBOROUGH,Chronzz Cannabis Shop,1157 ELLESMERE RD UNIT 5,Authorized to Open
SCARBOROUGH,Ciao Canna,2155 LAWRENCE AVE E UNIT 4,Authorized to Open
SCARBOROUGH,COST CANNABIS - ST CLAIR,3443 ST CLAIR AVE E,Authorized to Open
SCARBOROUGH,Euphoric Pot Corporation,4800 SHEPPARD AVE E UNIT 116  & 118   ,Authorized to Open
SCARBOROUGH,FIKA LOCAL CANNABIS,797 MILNER AVE UNIT 200,Authorized to Open
SCARBOROUGH,FIKA LOCAL CANNABIS,1900 EGLINTON AVE E UNIT F0002,Authorized to Open
SCARBOROUGH,Fire & Flower Cannabis Co.,4525 KINGSTON RD UNIT F01004E,Authorized to Open
SCARBOROUGH,Flowers Cannabis,880 ELLESMERE RD SUITE 104,Authorized to Open
SCARBOROUGH,GOOD COOKIE,371 OLD KINGSTON RD SUITE B,Authorized to Open
SCARBOROUGH,Good Cookie Malvern,5741 FINCH AVE E UNIT 2,Authorized to Open
SCARBOROUGH,Good Cookie Town Center,1595 ELLESMERE RD,Authorized to Open
SCARBOROUGH,Green Line ,3300 LAWRENCE AVE E SUITE 4,Authorized to Open
SCARBOROUGH,GREEN LINE CANNABIS,3300 LAWRENCE AVE E SUITE 4,In Progress
SCARBOROUGH,Green Merchant Cannabis Boutique,33 LAPSLEY RD,Authorized to Open
SCARBOROUGH,Growers Retail,2002 LAWRENCE AVE E,Authorized to Open
SCARBOROUGH,Growers Retail,821 BRIMLEY RD,Authorized to Open
SCARBOROUGH,Herbiculture (Scarborough North),3280 MIDLAND AVE UNIT 19 & 20,Authorized to Open
SCARBOROUGH,Hidden Leaf Cannabis,195 MARKHAM RD,Authorized to Open
SCARBOROUGH,HOLLAND DAZE,793 MARKHAM RD,Authorized to Open
SCARBOROUGH,HOLLAND DAZE,275 PORT UNION RD UNIT 8,Authorized to Open
SCARBOROUGH,HOLLAND DAZE,3226 EGLINTON AVE E,Authorized to Open
SCARBOROUGH,Hypnos Cannabis,3474 DANFORTH AVE,Authorized to Open
SCARBOROUGH,Kiosk Cannabis,4915 STEELES AVE E UNIT 11,Authorized to Open
SCARBOROUGH,Laughing Hyena Cannabis,485 KENNEDY RD,Authorized to Open
SCARBOROUGH,MOKSHA CANNABIS,2870 ELLESMERE RD UNIT 2852,Authorized to Open
SCARBOROUGH,North 80,19 MILLIKEN BLVD SUITE 25C,Authorized to Open
SCARBOROUGH,Northern Tokes ,5780 SHEPPARD AVE E UNIT 62,Authorized to Open
SCARBOROUGH,Plug Canna6is,3599 SHEPPARD AVE E,Authorized to Open
SCARBOROUGH,Pufftastic Cannabis Company,2830 MARKHAM RD,Authorized to Open
SCARBOROUGH,Rockwood Cannabis,3148 KINGSTON RD UNIT 3,Authorized to Open
SCARBOROUGH,Soul Rebel Cannabis Co.,2416 EGLINTON AVE E,Authorized to Open
SCARBOROUGH,SPIRITLEAF 875 MILNER AVENUE,875 MILNER AVE UNIT 114,Authorized to Open
SCARBOROUGH,Stok'd ,2408 KINGSTON RD,Authorized to Open
SCARBOROUGH,STOK'D CANNABIS,2978 EGLINTON AVE E UNIT 1,Authorized to Open
SCARBOROUGH,STOK'D CANNABIS,631 PHARMACY AVE,Authorized to Open
SCARBOROUGH,Straight Loud,1187 BRIMLEY RD,Authorized to Open
SCARBOROUGH,Strictly Cannabis,3351 MARKHAM RD SUITE 136,Authorized to Open
SCARBOROUGH,T.O. Smokes,2432 EGLINTON AVE E,Authorized to Open
SCARBOROUGH,Tampi Incorporation,4651 SHEPPARD AVE E UNIT S102,Public Notice Period: Ended 2021/06/19
SCARBOROUGH,The Hunny Pot Cannabis Co.,3850 SHEPPARD AVE E UNIT 395,Authorized to Open
SCARBOROUGH,The Leaf Collection,3331 MARKHAM RD. UNIT 3 & 4,Authorized to Open
SCARBOROUGH,TOKYO SMOKE,4660 KINGSTON RD SUITE 1,Authorized to Open
SCARBOROUGH,Tokyo Smoke Chartwell,2375 BRIMLEY RD. UNIT 6,Authorized to Open
SCARBOROUGH,TOTALLY BAKED CANNABIS,2582 BIRCHMOUNT RD,Authorized to Open
SCARBOROUGH,TREES CANNABIS,305 PORT UNION RD UNIT 1,Authorized to Open
SCARBOROUGH,WAVY BUDS RECREATIONAL CANNABIS,2438 KINGSTON RD,Authorized to Open
SCARBOROUGH,WEEDJAR,2807 EGLINTON AVE E,Authorized to Open
SCARBOROUGH,Your Local Cannabis,1260 KENNEDY RD UNIT 9,Authorized to Open
SCARBOROUGH,Your Local Cannabis,5981 STEELES AVE E SUITE E104,Authorized to Open
SCARBOROUGH ,Canna Vibes,1195 BIRCHMOUNT RD UNIT 1193A,Authorized to Open
SCARBOROUGH ,Cannabis Place,653 VICTORIA PARK AVE,Authorized to Open
SCARBOROUGH ,ONE PLANT SCARBOROUGH,43 MILNER AVE UNIT C-1D ,Authorized to Open
SCARBOROUGH ,Tokyo Smoke Eglinton Town Centre,8 LEBOVIC AVE UNIT B5,Authorized to Open
SCHOMBERG,ShinyBud Cannabis Co. New Tecumseth ,6048 HIGHWAY 9 UNIT 10,Authorized to Open
SCOTLAND,HIGH-WAY GRASS BAR,230 OAKLAND RD RR 1,Authorized to Open
SHELBURNE,Cannabis Stop Inc.,171 MAIN ST W SUITE 101,Authorized to Open
SHELBURNE,Golden Tree Cannabis,735 INDUSTRIAL RD,Authorized to Open
SHELBURNE,One Plant,"804 OJIBWAY RD, BUILDING D UNIT 3",Authorized to Open
SHELBURNE,Paramount Cannabis Co,517 MAIN ST E UNIT 2,Authorized to Open
SIMCOE,1 Stop Cannabis,38 NORFOLK ST S,Authorized to Open
SIMCOE,HIGHLIFE SIMCOE,95 QUEENSWAY W SUITE 4,Authorized to Open
SIMCOE,Rolling Cannabis ,6 VICTORIA ST,Authorized to Open
SIMCOE,Thrive Cannabis,88 KEITH RICHARDSON PKY,Authorized to Open
SIMCOE,True North Cannabis Co.,22 ROBINSON ST,Authorized to Open
SIOUX LOOKOUT,Ideal Buds (Sioux Lookout),90 FRONT STREET,Authorized to Open
SIOUX LOOKOUT,T CANNABIS NW,37 FRONT ST,Authorized to Open
SMITHS FALLS,Pop's Cannabis Co. Smiths Falls,123 LOMBARD ST UNIT 9,Authorized to Open
SMITHS FALLS,SHINYBUD CANNABIS CO. 8 BECKWITH ST,8 BECKWITH ST N,Authorized to Open
SMITHS FALLS,T CANNABIS,4 RUSSELL ST E,Authorized to Open
SOUTH LANCASTER ,Groove Cannabis Co.,6327 COUNTY RD 2 UNIT 3,Authorized to Open
SOUTH PORCUPINE,SESSIONS CANNABIS - SOUTH PORCUPINE,4900 ON-101 UNIT A04,Authorized to Open
SOUTH RIVER,South River Buds,19 ISABELLA STREET,Authorized to Open
SOUTHAMPTON,Cannabis Grey Bruce,17 ALBERT ST N,Authorized to Open
SPRINGWATER,BLOOM QUALITY CANNABIS,1004 CARSON RD W UNIT 1A,Authorized to Open
ST CATHARINES,10 dunlop,10 DUNLOP DR UNIT G,Public Notice Period: Ended 2020/08/13
ST CATHARINES,Breaking Bud Cannabis,130 HARTZEL RD,Public Notice Period: Ended 2023/08/12
ST CATHARINES,BUDSSMOKE,186 LAKE ST,Authorized to Open
ST CATHARINES,Canada Buds,595 CARLTON ST UNIT 28,Authorized to Open
ST CATHARINES,CANNABIS & MORE,230 ONTARIO ST,Authorized to Open
ST CATHARINES,Cannabis Supply Co.,314 LAKE ST UNIT 4,Authorized to Open
ST CATHARINES,F1NE Cannabis,5 PEACOCK BAY,Public Notice Period: Ended 2021/07/28
ST CATHARINES,Garden City Cannabis Co,111 FOURTH AVE UNIT 9,Authorized to Open
ST CATHARINES,Garden City Cannabis Co.,229 ST. PAUL ST,Public Notice Period: Ended 2023/10/25
ST CATHARINES,Grand Cannabis,225 ST. PAUL ST W UNIT 4,Authorized to Open
ST CATHARINES,Greener Grass Cannabis,75 KING ST,Authorized to Open
ST CATHARINES,High Leaf Cannabis,359 CARLTON ST UNIT 9,Authorized to Open
ST CATHARINES,Inspired Cannabis Co,295 FOURTH AVE SUITE 2,Authorized to Open
ST CATHARINES,My Cannabis Shoppe,216 QUEENSTON ST,Authorized to Open
ST CATHARINES,NITRO CANNABIS,491 MERRITT ST,Public Notice Period: Ended 2021/03/06
ST CATHARINES,One Plant St. Catharines,343 GLENDALE AVE SUITE 520,Authorized to Open
ST CATHARINES,Sativa Bliss Cannabis Boutique,11 QUEENSTON ST,Authorized to Open
ST CATHARINES,Spiritleaf St. Catherines,400 SCOTT ST UNIT C2,Authorized to Open
ST CATHARINES,Spot 420,120 WELLAND AVE UNIT 5,Authorized to Open
ST CATHARINES,The Hempire,25-27 ONTARIO ST ,Authorized to Open
ST CATHARINES,The Hunny Pot Cannabis Co.,495 WELLAND AVE,Authorized to Open
ST CATHARINES,THE NIAGARA HERBALIST,33 LAKESHORE RD UNIT 15,Authorized to Open
ST CATHARINES,TOKE CANNABIS,243 WELLAND AVE,Authorized to Open
ST CATHARINES,TOP FINEST CANNABIS,436 VANSICKLE RD SUITE 9,Authorized to Open
ST CATHARINES,TREES CANNABIS,395 ONTARIO ST SUITE B2,Authorized to Open
ST CATHARINES,True North Cannabis Co.,92 PELHAM RD,Authorized to Open
ST CATHARINES,UpHi Cannabis Emporium,284-286 GENEVA ST UNIT 7,Authorized to Open
ST CATHARINES,UpHi Cannabis Emporium ,198 GLENRIDGE AVE UNIT 6,Authorized to Open
ST MARY'S,Miss Jones,6 WATER ST S UNIT 4,Authorized to Open
ST THOMAS,Bob's Bud Emporium,483 TALBOT ST,Authorized to Open
ST THOMAS,BOB'S BUD EMPORIUM (ELGIN CENTRE),417 WELLINGTON ST UNIT 141,Authorized to Open
ST THOMAS,Canna Cabana,1010 TALBOT ST UNIT 32,Authorized to Open
ST THOMAS,Fika Local Cannabis,1063 TALBOT ST UNIT L0002B,Authorized to Open
ST THOMAS,Green Light Cannabis Shop,188 SUNSET DR SUITE 1,Authorized to Open
ST THOMAS,One Plant,945 TALBOT ST,Authorized to Open
ST THOMAS,STATION HOUSE CANNABIS CO.,150 BURWELL RD,Authorized to Open
ST THOMAS,TOKYO SMOKE ST. THOMAS,1055 TALBOT ST UNIT 7,Authorized to Open
STIRLING,Golden Tree Cannabis,1 MILL STREET,Authorized to Open
STIRLING,STIRLING CANNABIS,28 MILL STREET,Authorized to Open
STITTSVILLE,Canna Cabana,1300 MAIN ST UNIT 111,Authorized to Open
STITTSVILLE,ouid,3-1539 STITTSVILLE MAIN ST,Public Notice Period: Ended 2021/06/10
STITTSVILLE,SHINYBUD CANNABIS CO. STITTSVILLE,1261 MAIN ST UNIT 2,Authorized to Open
STITTSVILLE,Spiritleaf 1250 STITTSVILLE MAIN STREET,1250 STITTSVILLE MAIN ST UNIT C10,Authorized to Open
STITTSVILLE,Stash & Co.,1122 CARP RD UNIT 155,Authorized to Open
STONEY CREEK,CABBAGE BROTHERS,483 HWY 8 UNIT 3,Authorized to Open
STONEY CREEK,Cannabis Cupboard,952 QUEENSTON RD UNIT 10,Authorized to Open
STONEY CREEK,ELEVATED MINDS,570 HIGHWAY 8 UNIT 2,Authorized to Open
STONEY CREEK,NEKU CANNABIS,89 KING ST E,Authorized to Open
STONEY CREEK,NIRVANA BUDZ,141 HIGHWAY 8 UNIT 2,Authorized to Open
STONEY CREEK,One Plant,"1370 S SERVICE RD, BUILDING A UNIT 3 WINONA CROSSING SHOPPING CENTRE",Authorized to Open
STONEY CREEK,Sessions Cannabis,369 HIGHWAY 8 UNIT B2,Authorized to Open
STONEY CREEK,Sessions Cannabis Stoney Creek,1786 STONE CHURCH RD E,Authorized to Open
STONEY CREEK,Tokyo Smoke Rymal,2257 RYMAL RD E UNIT D1,Authorized to Open
STOUFFVILLE,JOLLY GREEN CANNABIS,6134 MAIN ST,Authorized to Open
STOUFFVILLE,One Plant Stouffville,5779 MAIN ST UNIT 105,Authorized to Open
STOUFFVILLE,Princess Buds,6380 MAIN ST UNIT 9,Authorized to Open
STOUFFVILLE,Tokyo Smoke,15301 HIGHWAY 48 UNIT 7,Authorized to Open
STOUFFVILLE,Tokyo Smoke Stouffville,12277 10TH LINE UNIT B1,Authorized to Open
STOUFFVILLE,TOKYO SMOKE STOUFFVILLE MAIN ST.,5758 MAIN ST UNIT 1,Authorized to Open
STOUFFVILLE,Your Local Cannabis,5892 MAIN ST UNIT 301,Authorized to Open
STRATFORD,CanDream Cannabis,557 DOWNIE ST,Public Notice Period: Ended 2023/08/10
STRATFORD,Canna Cabana,618 HURON ST,Authorized to Open
STRATFORD,CANNABIS CANNABIS,90 WELLINGTON ST,Authorized to Open
STRATFORD,Little Leaf,804 ONTARIO ST UNIT 3-5,Authorized to Open
STRATFORD,Pop's Cannabis Co. Stratford,581 HURON ST UNIT 3B,Authorized to Open
STRATFORD,SPIRITLEAF,1020 ONTARIO ST SUITE 2,Authorized to Open
STRATFORD,Tokyo Smoke Stratford Centre,925 ONTARIO ST UNIT 5B,Public Notice Period: Ended 2023/10/20
STRATFORD,True North Cannabis Co.,673 ONTARIO ST,Authorized to Open
STRATHROY,One Plant Strathroy,70 CARROLL ST E UNIT A6 & A7,Authorized to Open
STRATHROY,TRUE NORTH CANNABIS CO.,51 FRONT ST W,Authorized to Open
STURGEON FALLS,KING OF QUEENS CANNABIS COMPANY,218 MAIN ST,Authorized to Open
STURGEON FALLS,POP’S CANNABIS CO. STURGEON FALLS,12006 17 HWY E SUITE 2,Authorized to Open
SUDBURY,CANNA CABANA SUDBURY,2019 LONG LAKE RD,Authorized to Open
SUDBURY,CANNA CABANA SUDBURY,2019 LONG LAKE RD,Authorized to Open
SUDBURY,Cannaverse,110 DONNA DR UNIT D003,Authorized to Open
SUDBURY,CASA BLISS ,324 ELM ST UNIT 2,Authorized to Open
SUDBURY,FIKA LOCAL CANNABIS,2408 LONG LAKE RD UNIT E006,Authorized to Open
SUDBURY,Grassroots Co,1113 LASALLE BLVD UNIT 2,Authorized to Open
SUDBURY,HAPPY LIFE,1021 KINGSWAY UNIT 3,Authorized to Open
SUDBURY,HIGHLIFE CANNABIS LASALLE,1855 LASALLE BLVD,Authorized to Open
SUDBURY,HIGHLIFE CANNABIS SUDBURY,1299 MARCUS DR,Authorized to Open
SUDBURY,Northbound Cannabis Co.,1984 REGENT ST UNIT 113,Authorized to Open
SUDBURY,Pop's Cannabis Co.,450 NOTRE DAME AVE UNIT 105B,Authorized to Open
SUDBURY,SESSIONS CANNABIS - NICKLE CITY,900 LASALLE BLVD UNIT Q,Authorized to Open
SUDBURY,Stash & Co.,900 LASALLE BLVD,In Progress
SUDBURY,SWEET SEVEN CANNABIS CO.,1650 REGENT ST,Authorized to Open
SUDBURY,TOKE CANNABIS,1133 NOTRE DAME AVE,Public Notice Period: Ended 2021/08/31
SUDBURY,True North Cannabis Co. ,372 RIVERSIDE DR,Authorized to Open
SUDBURY,Wild Flowerz,533 KATHLEEN ST UNIT B,Authorized to Open
SUDBURY ,Lost Lake,42 LORNE ST. UNIT 4,Authorized to Open
SUNDRIDGE,BUDSSMOKE,10425 HWY 124 UNIT B,Authorized to Open
TECUMSEH,Cloud 29 Manning,1655 MANNING RD UNIT 2B,Authorized to Open
TECUMSEH,Discounted Cannabis,13139 TECUMSEH RD E,Authorized to Open
TECUMSEH,On the Cannabis Side,13300 TECUMSEH RD E UNIT 155,Authorized to Open
TECUMSEH,Pop's Cannabis Co.,13412 TECUMSEH RD E UNIT C2,Public Notice Period: Ended 2023/09/20
TECUMSEH,URBNBUD,1614 LESPERANCE RD BUILDING F3 UNIT D,Authorized to Open
TEMAGAMI,Temagami Cannabis Company,6 LAKESHORE DRIVE,Authorized to Open
TERRACE BAY,My Cannabis,1002 HWY 17 UNIT 1,Authorized to Open
THAMESFORD,HIGHQ,116 DUNDAS ST E,Authorized to Open
THORNBURY,Soma Leaf Company,99 KING ST E UNIT C,Authorized to Open
THORNE,BUDSSMOKE,211 KING ST UNIT 2,Authorized to Open
THORNTON,Ashario,239 BARRIE ST,Public Notice Period: Ended 2021/02/25
THOROLD,Coconut Cannabis,50 FRONT ST N,Authorized to Open
THOROLD,TAKE OFF CANNABIS,9 PINE ST N UNIT 28,Authorized to Open
THUNDER BAY,BEAN CANNABIS SHOP 160 WATERLOO,160 WATERLOO ST N UNIT 3,Authorized to Open
THUNDER BAY,CANNA CABANA FORT WILLIAM,949 FORT WILLIAM RD SUITE D10,Authorized to Open
THUNDER BAY,Cannabis Plus Store,128 SIMPSON ST,Authorized to Open
THUNDER BAY,Cannabis Plus Store,89 CUMBERLAND ST N,Authorized to Open
THUNDER BAY,Cannaverse,570 HARBOUR EXPY UNIT 4,Authorized to Open
THUNDER BAY,HAPPY LIFE,1170 MEMORIAL AVE,Authorized to Open
THUNDER BAY,Insalata,109 REGINA AVE SUITE 111,Authorized to Open
THUNDER BAY,J Supply - Arthur,540 ARTHUR ST W,Authorized to Open
THUNDER BAY,J Supply - Memorial,701 MEMORIAL AVE UNIT 2,Authorized to Open
THUNDER BAY,Kia Ora Kannabis,236 RED RIVER RD,Authorized to Open
THUNDER BAY,Kia Ora Kannabis,1111 VICTORIA AVE E,Authorized to Open
THUNDER BAY,ONE PLANT THUNDER BAY,911 FORT WILLIAM RD SUITE 4,Authorized to Open
THUNDER BAY,Rainbow Thunder Bay Cannabis Accessories,264 BAY ST,Authorized to Open
THUNDER BAY,RAINBOW THUNDER BAY CANNABIS ACCESSORIES ,428 VICTORIA AVE E,Authorized to Open
THUNDER BAY,SESSIONS CANNABIS - THUNDER BAY,820 RED RIVER RD UNIT C,Authorized to Open
THUNDER BAY,Toke House,1500 JAMES ST S SUITE 3,Authorized to Open
THUNDER BAY,TOKE HOUSE,320 ARUNDEL ST UNIT C,Authorized to Open
THUNDER BAY,TOKYO SMOKE,572 ARTHUR ST W UNIT 5,Authorized to Open
THUNDER BAY,TOKYO SMOKE 1082 MEMORIAL ,1082 MEMORIAL AVE,Authorized to Open
THUNDER BAY ,HIGH SOCIETY ,210 ALGOMA ST S SUITE 101A,Authorized to Open
TICHBORNE,Prime Greenz,11628 HIGHWAY 38 RR 1,Public Notice Period: Ended 2021/09/06
TILBURY,SHINYBUD CANNABIS CO. TILBURY,5 PROSPECT ST.,Authorized to Open
TILBURY,The Higher Cannabis Company,30 MILL ST WEST,Authorized to Open
TILLSONBURG,Capturing Eden,52 SIMCOE ST,Authorized to Open
